ID	カテゴリ	機能グループ	機能名	説明	認証要否	優先度	備考
REQ-001	編集者向け	地域管理	地域の作成	新規地域を作成し、基本情報（名称、説明、位置情報等）を登録する	必須	高	
REQ-002	編集者向け	地域管理	地域の編集	自身が作成した地域の情報を編集する	必須	高	
REQ-003	編集者向け	地域管理	地域の削除	自身が作成した地域を削除する	必須	中	削除時は関連する場所も削除される
REQ-004	編集者向け	地域管理	地域の一覧表示	自身が作成した地域の一覧を表示する	必須	高	
REQ-005	編集者向け	場所管理	場所の作成	自身が作成した地域に属する場所（店舗、観光スポット等）を作成する	必須	高	
REQ-006	編集者向け	場所管理	場所の編集	自身が作成または編集権限を持つ場所の情報を編集する	必須	高	
REQ-007	編集者向け	場所管理	場所の削除	自身が作成した場所を削除する	必須	中	
REQ-008	編集者向け	場所管理	場所の一覧表示	自身が作成または編集権限を持つ場所の一覧を表示する	必須	高	
REQ-009	編集者向け	権限管理	編集者の招待	自身が作成した場所に対して他のユーザーを編集者として招待する	必須	中	メール通知機能を含む
REQ-010	編集者向け	権限管理	編集者の権限管理	招待した編集者の権限を管理（編集、削除権限の付与・剥奪）	必須	中	
REQ-011	編集者向け	権限管理	編集権限のある場所の管理	他者から招待されて編集権限を得た場所を管理する	必須	中	
REQ-012	編集者向け	サブスクリプション	サブスクリプション管理	料金プランの確認、変更、支払い情報の管理を行う	必須	高	有料機能の利用制限に関わる
REQ-013	編集者向け	アカウント	アカウント設定	プロフィール情報、パスワード、通知設定等を管理する	必須	中	
REQ-014	来訪者向け	地域閲覧	地域の一覧表示	公開されている地域の一覧を表示する	不要	高	ページネーション機能を含む
REQ-015	来訪者向け	地域検索	地域のキーワード検索	地域名や説明文からキーワード検索を行う	不要	高	
REQ-016	来訪者向け	地域検索	地域の位置情報検索	現在地や指定地点から近い地域を検索する	不要	高	GPS機能との連携
REQ-017	来訪者向け	地域管理	地域のお気に入り登録	気に入った地域をお気に入りに登録し、後で簡単にアクセスできるようにする	必須	中	
REQ-018	来訪者向け	地域管理	地域のピン留め	頻繁にアクセスする地域をピン留めして画面上部に固定表示する	必須	低	お気に入りとは別管理
REQ-019	来訪者向け	場所閲覧	地域内の施設一覧表示	選択した地域に属する施設（店舗、観光スポット等）の一覧を表示する	不要	高	
REQ-020	来訪者向け	場所閲覧	地図上での施設表示	地域内の施設を地図上にマッピングして表示する	不要	高	地図APIとの連携
REQ-021	来訪者向け	場所閲覧	施設の詳細情報表示	施設の詳細情報（営業時間、連絡先、写真等）を表示する	不要	高	
REQ-022	来訪者向け	チェックイン	施設へのチェックイン	訪問した施設にチェックインする	必須	中	位置情報の確認機能
REQ-023	来訪者向け	チェックイン	チェックイン時の写真投稿	チェックイン時に写真を投稿する	必須	中	画像アップロード機能
REQ-024	来訪者向け	チェックイン	チェックイン時のコメント投稿	チェックイン時にコメントを投稿する	必須	中	文字数制限あり
REQ-025	来訪者向け	場所管理	施設のお気に入り登録	気に入った施設をお気に入りに登録する	必須	中	
REQ-026	来訪者向け	アカウント	アカウント設定	プロフィール情報、パスワード、通知設定等を管理する	必須	中	
REQ-027	管理者向け	ユーザー管理	ユーザー一覧表示	システムに登録されている全ユーザーの一覧を表示する	必須	高	検索・フィルタ機能を含む
REQ-028	管理者向け	ユーザー管理	ユーザーの停止・削除	規約違反等のユーザーアカウントを停止または削除する	必須	高	
REQ-029	管理者向け	コンテンツ管理	不適切なコンテンツの管理	通報された不適切な地域・場所・チェックイン情報を確認し、削除する	必須	高	通報機能との連携
REQ-030	管理者向け	コンテンツ管理	コンテンツの一括管理	地域・場所の一括編集、削除を行う	必須	中	
REQ-031	管理者向け	システム設定	システム全体の設定管理	利用規約、プライバシーポリシー、システムメンテナンス設定等を管理する	必須	中	
REQ-032	管理者向け	統計・分析	利用統計の表示	ユーザー数、地域数、チェックイン数等の統計情報を表示する	必須	低	ダッシュボード形式
REQ-033	管理者向け	統計・分析	レポート生成	期間指定での利用状況レポートを生成・ダウンロードする	必須	低	CSV/PDF形式での出力
